Topic,Review_Raw,Tokens,Representative_document
1,두피가 자주 가렵고 머리가 많이 빠지는 것 같아서 도움되는 샴푸 찾아보다 아모레몰에 라보에이치 두피강화 샴푸 있길래 구매해서 꾸준히 사용중입니다. 눈에 보이는 효과는 모르겠지만 머리 감을때 이전 사용하던 샴푸보다 개운해서 좋습니다.,두피 머리 도움 샴푸 아모레 라보 에이치 두피 강화 샴푸 효과 머리 이전 샴푸,True
2,"선물로 받은뒤 제품이 맘에 들어서
제구매 했습니다",선물,True
24,리필팩이라 조아요 환경에 도움됨~^^* 리필팩이라 조아요 환경에 도움됨~^^* 리필팩이라 조아요 환경에 도움됨~^^* 리필팩이라 조아요 환경에 도움됨~^^* 리필팩이라 조아요 환경에 도움됨~^^* 리필팩이라 조아요 환경에 도움됨~^^*,리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움 리필 조아요 환경 도움,True
37,"아모레퍼시픽 몰에서 각종 혜택 받고 잘 사용중인 뷰티템입니다 매일 들어가보는 재미가 있는 아모레몰 어플 ㅋㅋ 조아요

아모레퍼시픽 몰에서 각종 혜택 받고 잘 사용중인 뷰티템입니다 매일 들어가보는 재미가 있는 아모레몰 어플 ㅋㅋ 조아요",아모레퍼시픽 각종 혜택 뷰티템 재미 아모레 어플 조아요 아모레퍼시픽 각종 혜택 뷰티템 재미 아모레 어플 조아,True
30,"매일 사용하는 제품이 리필도 출시되어 너무 좋네요
매일 사용하는 제품이 리필도 출시되어 너무 좋네요매일 사용하는 제품이 리필도 출시되어 너무 좋네요매일 사용하는 제품이 리필도 출시되어 너무 좋네요매일 사용하는 제품이 리필도 출시되어 너무 좋네요",리필 출시 리필 출시 리필 출시 리필 출시 리필 출시,True
23,"여름이라 쿨링샴푸라 시원하니 더 좋습니다
샴푸할때 사용후에도 상쾌하니 좋아요",여름 샴푸 샴푸,True
2,선물용으로 구매했어요 좋아하시네요~ㅎㅎㅎ,선물,True
2,선물받았는데 사용감 좋습니다만족합니다,선물 만족,True
-1,사용하기조아요,조아,True
-1,맘에들어요재구매해요감사합니다굿굿입니다,감사,True
1,"라보에이치 두피강화클리닉 쿨링&노세범 샴푸 쿨링이라
샴푸후 상쾌함이 좋아요 일주일에 한두번은 라보에이치 두피강화클리닉 쿨링&노세범 샴푸로 나머지는 라보에이치 탈모샴푸로 깨끗하게 샴푸하면 탈모에 도움이 되리라 생각하고 깨끗하게 샴푸합니다",라보 에이치 두피 강화 클리닉 노세 샴푸 샴푸 라보 에이치 두피 강화 클리닉 노세 샴푸 나머지 라보 에이치 탈모 샴푸 샴푸 탈모 도움 샴푸,True
46,"아주 마음에 들어요! 좋은 제품 잘 쓰겠습니다. 감사합니다.
 . .",감사,True
0,"려 우아체 멋내기 새치크림
염색약 색깔 오렌지브라운 
예쁜색으로 염색이되니 좋네요
소포장 3회분으로 들어있어서
신선하게 사용가능하게 만들어져서
좋은제품이예요
염색할때 눈따갑거나 두피 자극없이
염색이 잘되니 정말 굿입니다",우아체 새치 크림 염색약 색깔 오렌지 브라운 예쁘다 염색 포장 가능 염색 두피 자극 염색,True
23,"여름에 쓰기 좋은 샴푸예요
용량도 크고 만족합니다",여름 샴푸 용량 만족,True
38,"필요한화장품있을때마다
 항상 아리따움몰에서 
구매하는데 
이번에는 소품종류도 세일해서 
같이사봤어요~~ 
배송도 빨리왔고 
물건들도 다 좋아요 
마음에들어요 감사합니당~~
포장도 비닐사용없이
종이들로 완충포장 되어와서
분리배출하기 편해요
감사합니당~~",필요 화장품 소품 종류 세일 배송 물건 감사 포장 비닐 종이 완충 포장 분리 배출 편하다 감사,True
5,"리필용은 가격이 적당해서 아모레몰에서 구입합니다
처음에 세트 구성 가격이 정말 정말 좋았지만
요즘엔 살짝 비싸거든요 
리필 가격은 좋은 편 인 것 같습니다
두피에는
자극적이지 않습니다
머릿결은 엄청 좋아지진 않지만 계속 쓰고 싶은 제품입니다",리필 가격 아모레 구입 처음 세트 구성 가격 요즘 비싸다 리필 가격 두피 자극 머릿결,True
30,재구매에요. 리필용이 있어서 좋아요. 그럭저럭 쓸 만해요. 리필용이 있어서 환경 보호 하는 것 같네요. 제품은 그럭저럭 쓸만해요. 리필용이 있어서 좋아요. 그럭저럭 쓸만해요. 리필용이 있어서 좋아요. 그럭저럭 쓸만해요. 좋아요.,리필 리필 환경 보호 리필 리필,True
24,환경을 생각하면 리필이 최고인거같아요^^,환경 리필 최고,True
2,선물용으로 구매했어요 좋아하시네요~ㅎㅎ,선물,True
0,"려 두피편한검은콩염색 벌써 검은콩염색약을 쓴지도 1년이 다되가는듯하네요
일단 염색도 잘되고 컬러감도 자연스럽고 지속력도 좋고 가격도 적당해서 꾸준히 사용하고 있어요 피부에도 자극적이지 않았으면 하고 바라봅니다 또 구매합니다",두피 편하다 염색 염색약 염색 컬러 자연 지속 가격 피부 자극,True
2,배송 빠르고 꼼꼼하게 잘왔어요 잘쓸게요,배송 빠르다,True
-1,상품 항상 사용합니다. 선물로도 좋네요,선물,True
2,배송 정말 빠르고 좋아요~,배송 빠르다,True
7,"롱테이크 샌달우드 오드퍼퓸.
향이 금방 날아가요.
그래서 금방 사용해버립니다.",테이크 우드 오드퍼퓸,True
-1,조아요 ~~~~~~~~~~~~~~~~~~~~~~~,조아,True
-1,조아요 ~~~~~~~~~~~~~~~~~~,조아,True
2,배송도 빠르고 상품도 좋아요 향이 너무 좋아 재구매 하고 싶어요,배송 빠르다,True
10,향수의 향기가 너무 좋아서 앞으로 이 향수만 쓸거같아요. 지속력도 오래갑니다.,향수 향기 향수 지속,True
-1,너무 좋아요.선물용으로 샀는데 향이 좋아서 저도 하나 사ㅆ어여,선물,True
41,조아요 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,조아,True
19,제가 사용 후. 향이 너무 좋아서 선물하려고 다시 구매했어요 우디향이 너무 좋아요 잘샀어요 감사합니다 또 주변에도 추천할게요 몇개 추가로 더 주문해야 겠어요 좋은 제품입니다 ㅎㅎ 감사합니다 좋은하루 보내세요 ㅎㅎ,선물 감사 주변 추천 추가 감사 하루,True
41,조아요 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,조아,True
41,조아요 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,조아,True
-1,딸이 좋다고하네요. 좋은제품 감사해요,감사,True
-1,조아요 ~~~~~~~~~~~~~~~~~~~~~~~,조아,True
-1,조아요 ~~~~~~~~~~~~~~~~,조아,True
-1,조아요 ~~~~~~~~~~~~~~~~~~~~~,조아,True
41,조아요 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,조아,True
41,조아요 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,조아,True
-1,선물주려고샀어요.늘사용하는제품이라좋은건당연하고요,선물,True
43,향이 너무좋아요 잘받았습니다 감사합니다,감사,True
-1,조아요 ~~~~~~~~~~~~~~~~~~,조아,True
-1,조아요 ~~~~~~~~~~~~~~~~~~~~~~,조아,True
-1,조아요 ~~~~~~~~~~~~~~~~~,조아,True
38,"🖤 롱테이트 솔리드 퍼퓸 디스커버리 3종 키트 🖤 

 🌟 원래도 롱테이크 제품 좋아해서 본품도 있지만 휴대용으로 들고다니려고 일부로 체험 키트로 주문했어요 ! 휴대용으로 들고다니기 너무 좋은 사이즈여서 오히려 본품보다 좋더라고요 ㅎㅎ 향은 뭐 말할것도 없이 마음에 들고 3가지 향 모두 우디향을 좋아하는 저한테는 잘 맞았습니다 👍 향은 워낙 개인차가 크고 호불호가 갈리다보니 꼭 시향 후 구매하시길 추천드립니다 !! 저는 개인적으로 우디, 바질 , 베티버, 무화과 향을 극호하는 편이라 정말 좋아하는 제품입니다 🫶 휴대용으로 들고다니면 금방 다 사용할 것 같아서 다 사용하면 재구매하러 오겠습니다 !!",테이트 솔리드 퍼퓸 디스커버리 키트 테이크 휴대 체험 키트 휴대 사이즈 우디 개인차 호불호 시향 추천 개인 우디 바질 베티버 무화과 휴대,True
40,세가지 향이 모두 개성이 달라서 기분이나 상황에 따라 바꿔쓸 수 있어서 좋은 것 같아요. 가격이 저렴하게 미니미버전으로 출시해주셔서 모두 경험해보니 좋네요 지난번에 품절이었는데 풀렸길래 바로 구매했습니다 ㅎ 크기고 작아서 들고다니기 너무 좋은 것 같고요 일단 발랐을때 다른 고체향수에 비해서 지속력이 오래가고 향기가 굉장히 매력있어요,개성 다르다 기분 상황 가격 미니 버전 출시 경험 지난번 품절 크기 고체 향수 지속 향기 매력,True
34,"코스메틱 파우치에 하나씩 넣어 다니고 있어요
오전에 집에서 뿌린 향이 희미해질무렵 손목 뒷목 문질러 발라주면 레이어드라고 해야하나? 암튼 매력적인 향이 납니다
유니섹스한 향들이지만 충분히 여성여성해요
휴대성이 최고의 장점입니다",코스메틱 파우치 오전 손목 뒷목 레이어드 매력 유니섹스 여성 여성 휴대 최고 장점,True
40,"휴대하기 너무 좋은 향수입니다
고체라서 샐 걱정도 없고 너뮤 좋아요
세가지 향이 각각 매력넘치네요
너무 좋아요 완전
세가지 나눠서 쓰는 중인데 좋아요
용량이 작긴 하지만 휴대성이 좋아서 만점 드립니다
오십퍼 할인가로 구매했어요",휴대 향수 고체 걱정 너뮤 매력 용량 휴대 만점 할인,True
2,향이 좋아요 롱테이크 향 오래 가용 굿,테이크,True
-1,좋아요 배송도 빠르네요 굿 좋습니다 .,배송 빠르다,True
42,샌달우드 써보고 넘 조아서 다른 향도 써보고 싶은 마음에 주문했는데 요것도 대만족 향도 넘 좋고 촉촉하고 샤워하고 난후 좋은 향기가 가득~~ 머리까지 맑아지는듯한 기분에 날아갈듯 ㅋㅋ싸구려 향이 아니라 자연의 깊고 그윽한 향에 경쾌한 느낌까지 롱테이크 어쩜 이리 조은지 하나 버릴게 없는 제품입니다 대만족 ^^꼭 써보세요 다른건 못써요,우드 조아 다르다 만족 촉촉하다 샤워 향기 머리 기분 싸구려 자연 테이크 조은 만족,True
19,"선물로 드렸어요 받으시는 분께서 
향이 좋다고 좋아하시더라구요
좋은 제품 만들어주셔서 감사합니다 
선물할때 재구매하려고요 
선물로 드렸어요 받으시는 분께서 
향이 좋다고 좋아하시더라구요
좋은 제품 만들어주셔서 감사합니다 
선물할때 재구매하려고요",선물 감사 선물 선물 감사 선물,True
7,샌달우드 향이 좋아서 구매했어요....추천합니다..롱테이크 제품 다 괜찮습니다..,우드 추천 테이크 괜찮다,True
2,선물용 구매했어요 향이 너무좋아요~~,선물,True
-1,"향이 좋은 제품
선물용으로 구매
좋아하시네요",선물,True
43,향이 너무좋아요 잘받았습니다 감사합니다,감사,True
11,샤워때 잘 사용중 촉촉하고 은은한 향,샤워,True
34,"40대 여성이예요. 우드향을 참 좋아하는데, 제가 좋아하는 우드향보다 조금 더 깊고 묵직한 느낌이예요. 지인들은 남자향수같다고 하는데 저는 강하지만 은은해서 참 좋더라구요 고체향수라 향이 지속성이 좋아 마음에 들어요",여성 우드 우드 지인 남자 향수 고체 향수 지속,True
2,조아요 잘 스며드는 편이에요 ㅎㅎ강추,조아,True
41,조아요 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,조아,True
41,조아요 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,조아,True
2,배송도 빠르고 좋아여~~~~~~~~~~~,배송 빠르다,True
-1,배송 빠르게 잘 받았습니다,배송 빠르다,True
42,향은 진짜 좋아요 좋아서 향수도 삿음.. 추천합니다 꽤 오래 쓰네요 굿 짱 최고 향 오래는 안 감 그래도 기분이 조아요 그래도 이름이 롱테이큰데 향 좀 오래 갓으면 조켓어요 향수도 향이 오래 안 가더라구요 그래도 좋아요,향수 추천 최고 기분 조아 이름 테이크 조켓어요 향수,True
51,롱테이크 헤어오일 끈적임도 적고 무엇보다 향이 너무 좋아요,테이크 헤어 오일,True
-1,롱테이크 헤어오일 향이 좋도 오래 가요,테이크 헤어 오일,True
46,"모든점에서 마음에듭니다
좋은 제품 감사합니다",감사,True
51,"롱테이크 제품 향이 좋아요
제품이 좋습니다",테이크,True
48,"처음에는 이게 뭐 화장할때 큰 차이가 있겠어 …? 
하고 너무 후기가좋아서 속는셈치고 주문하고 오자마자 써봤는데 이젠 이거없으면 안되는 유목민이 되어버렸습니다..선크림 조차도 바르면 뭉친게 심해서 나름 거울보고 열심히 펴 바른다 해도 해결이 안되었어요 그런데 이제는 이걸 접한이후로 뭉침덜하고 촉촉하게 시작하고 깔끔하게 화장을 끝낼수있어서 이제는 쟁여놓고 삽니다..",처음 화장 차이 후기 이제 유목민 크림 심하다 거울 해결 이제 이후 시작 화장 이제,True
32,"수부지 민감성 피부인데 자극없이 트러블 없이 사용할 수 있어서 좋아요. 메이크업은 잘 지워집니다. 롤링하기 좋게 사용감도 엄청 부드럽고 마음에 들어요. 블랙헤드에도 효과가 있으면 좋겠네요. 
아쉬운 점은 속뚜껑이 분명 있는데 제품을 개봉하면 속뚜껑 없이 사용하게끔 만들어졌네요. 뒤로 여는 뚜껑만 열어서는 속뚜껑이 열리지 않아서 뚜껑을 돌려서 열어야지만 속뚜껑을 들어낼 수 있었어요. 
사진처럼 본통 뚜껑에 스파츌라를 끼워두었네요. 
이런 클렌징밤 제품도 튜브형으로 나오면 더 좋겠다 싶어요. 뚜껑 열고 스파츌라 빼서 쓰고 다시 끼워두고 하는것도 번거롭다보니.. 
가격이 단점이긴 한데 메이크업 잘 지워지는거 보면 아깝진 않은것 같아서 추가구매 했습니다. 

지금 같이 주는 세안밴드 아주 맘에 듭니다. 너무 짱짱하지도 헐겁지도 않아서 딱 좋아요",수부 피부 자극 트러블 메이크업 롤링 블랙 헤드 효과 뚜껑 개봉 뚜껑 뚜껑 뚜껑 뚜껑 뚜껑 사진 뚜껑 스파츌라 클렌징 튜브 뚜껑 스파츌라 가격 단점 메이크업 추가 세안 밴드,True
48,"새로 나와서 써보고 싶었고 응모해놓고 까먹고 있었는데 당첨이 되네요. 아마도 그것은 제가 아몰에서 많이 사서..ㅋㅋ

결론을 말하자면, 세정력이 좋습니다. 그리고 발림성도 좋고요. 민트 라는 단어가 들어있는데 화하거나 그런 건 전혀 없습니다.
저는 건성인데, 이걸 문지르는 순간과 유화과정 중엔 촉촉했고 씻어내고 나면 건조했습니다. 참고하세요.
블랙헤드는 조금 정돈된 느낌입니다. 드라마틱하게 사라지진 않고요.

다른 분들 후기 보니 출시 기념으로 주는 세안밴드가 좋다고 하네요.
후기 끝!",응모 당첨 결론 세정 발림 민트 단어 건성 순간 유화 과정 건조 참고 블랙 헤드 정돈 드라마틱 후기 출시 기념 세안 밴드 후기,True
2,선물용으로구매 받는사람이 너무 좋아했습니다,선물,True
37,마몽드 모이스처 세라마이드 스킨 소프너 모이스처 세라마이드 스킨 소프너 스킨 소프너 세라마이드 모이스처 수분 촉촉 마몽드 수분감 보 습 스킨 소프너 모이스처 세라마이드 마몽드 모이스처 세라마이드 마몽드 스킨 소프너 좋아요 굿굿,모이스처 세라마이드 스킨 소프너 모이스처 세라마이드 스킨 소프너 스킨 소프너 세라마이드 모이스처 수분 수부 스킨 소프너 모이스처 세라마이드 모이스처 세라마이드 스킨 소프너,True
39,"5통 넘게 구매해서 사용중인데 마몽드 제품중에 제일 좋아요~^^
케이스도 핑크핑크하게 바뀌어서 이쁘구요^^향도 좋고 흡수도 잘되서 좋아요^^
겨울이나 환절기에 사용하기 너무 좋구요^^앞으로 계속 재구매 의사 있어요~^^",케이스 핑크 핑크 이쁘다 흡수 겨울 환절기 의사,True
2,겨울이라 그런지 너무 건조해서 구매했는데 촉촉하니 좋아요,겨울 건조,True
6,"여름에 수분크림처럼 발라요 물광처럼 싸악 올라옵니당
스킨이나 앰플 가볍게 흡수시키고 로션을 발라요 화장전에 발라도 밀리지 않아요 건성에게는 선크림바르기 전에도 부담스럽지 않은 묽기에요 이 라인으로 정착하려고요!! 좋습니닷",여름 수분 크림 스킨 앰플 흡수 로션 화장 건성 크림 부담 라인 정착,True
2,아이들 주려고 구매하는 꾸준히 쓰고있어요 좋아요,아이,True
46,잘쓰고있습니다. 감사합니다.,감사,True
46,잘받았습니다. 감사합니다.,감사,True
2,배송도 빠르고 제품도 너무좋네요 ㅋㅋ,배송 빠르다,True
2,배송 빨라서 좋아요,배송 빠르다,True
2,가볍고 오래쓰기 조아요~!,조아,True
28,"프로바이오틱스 세라마이드 앰플마스크팩
촉촉하고 좋아요 무난하니 굿
프로바이오틱스 세라마이드 앰플마스크팩
촉촉하고 좋아요 무난하니 굿
프로바이오틱스 세라마이드 앰플마스크팩
촉촉하고 좋아요 무난하니 굿
프로바이오틱스 세라마이드 앰플마스크팩
촉촉하고 좋아요 무난하니 굿",프로바이오틱스 세라마이드 앰플 마스크 프로바이오틱스 세라마이드 앰플 마스크 프로바이오틱스 세라마이드 앰플 마스크 프로바이오틱스 세라마이드 앰플 마스크,True
-1,"은은하고 상쾌하고
향이 너무 좋아요
감사합니다",감사,True
43,잘받았습니다 잘쓰겠습니다 감사합니다 고맙습니다 감사해요,감사 감사,True
46,아주 조아요 잘 샀어요 감사합니다 ㅎㅎ 아주 조아요 조아요 잘 샀어요 감사합니다 ㅎㅎ 아주 조아요 조아요 잘 샀어요 감사합니다 ㅎㅎ 아주 조아요 조아요 잘 샀어요 감사합니다 ㅎㅎ 아주 조아요 조아요 잘 샀어요 감사합니다,조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사,True
46,잘쓰고있습니다. 감사합니다. 잘쓰고있습니다. 감사합니다.,감사 감사,True
43,잘받았습니다 잘쓰겠습니다 감사합니다,감사,True
-1,잘받았습니다 좋아요 감사합니다 더 사용해봐겠어요,감사,True
2,"선물주려구 안쓰고 아끼고있는데
싸게 잘샀다",선물,True
52,배송도 빠르고 사용해보니 촉촉해요.,배송 빠르다 촉촉하다,True
43,잘받았습니다 감사합니다,감사,True
14,선물로 드렸는데 매우 만족해하셨어요.,선물 만족,True
-1,선물했는데 정말 좋아합니다!,선물,True
9,마스크팩이 얇고 좋아요. 얼굴에 착용감이 있고 촉촉합니다.,마스크 얼굴 착용감 촉촉하다,True
14,가벼운 선물용으로 구매했어요.좋아요.,선물,True
43,잘받았습니다 잘쓰겠습니다 감사합니다 고맙습니다 감사해요,감사 감사,True
43,잘받았습니다 잘쓰겠습니다 감사합니다 고맙습니다,감사,True
9,마스크 괜찮은것 같아요. 두껍고 부드럽너오.,마스크 괜찮다,True
2,배송 빨랐어용ㅎㅎㅎㅎ촉촉하니 너무좋아요,배송 빠르다 촉촉하다,True
43,잘받았습니다 잘쓰겠습니다 감사합니다 고맙습니다 감사해요,감사 감사,True
46,아주 조아요 잘 샀어요 감사합니다 ㅎㅎ 아주 조아요 조아요 잘 샀어요 감사합니다 ㅎㅎ 아주 조아요 조아요 잘 샀어요 감사합니다 ㅎㅎ 아주 조아요 조아요 잘 샀어요 감사합니다 ㅎㅎ 아주 조아요 조아요 잘 샀어요 감사합니다,조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사,True
43,잘받았습니다 잘쓰겠습니다 감사합니다 고맙습니다,감사,True
4,"겨울 철 건조할때 사용하기
더 좋아요",겨울 건조,True
46,좋아요 감사합니다.,감사,True
46,아주 조아요 잘 쓰고 이#어요 감사합니다 남편 사줬는데 잘 쓰고 이#어요 감사해요 자거지만 잘 쓰고 있어요 감사합니다 여러# 쓸모가 많네요 감사합니다 좋은 제품 팔아주셔서 감사해요 ㅎㅎ 아주 좋아요 감사합니다 잘 쓰겠습니 다,조아요 감사 남편 감사 거지 감사 쓸모 감사 감사 감사,True
46,"좋아요
부드럽고 감사합니다
잘쓸게요.",감사,True
46,잘 사용하겠스빈다. 감사합니다.,감사,True
2,배송이 빠르게 왔습니다~~,배송 빠르다,True
52,산뜻하고 가벼워서 좋아요. 배송 빠릅니다.,배송 빠르다,True
