Topic,Count,Name,Representation,Representative_Docs
40,72,40_휴대_향수_고체_테스트,"['휴대', '향수', '고체', '테스트', '크기', '용량', '종류', '부담', '매력', '품절']","['개성 다르다 기분 상황 가격 미니 버전 출시 경험 지난번 품절 크기 고체 향수 지속 향기 매력', '휴대 향수 고체 걱정 너뮤 매력 용량 휴대 만점 할인', '휴대 향수 고체 걱정 너뮤 매력 용량 휴대 만점 할인']"
41,66,41_조아_체크_무난하다_엄마,"['조아', '체크', '무난하다', '엄마', '선물', '오딧세이', '이상', '히알루론산', '에이치', '행복']","['조아', '조아', '조아']"
42,64,42_두피_테이크_바질_청결,"['두피', '테이크', '바질', '청결', '기분', '시원하다', '남성분', '향수', '조아', '향기']","['우드 조아 다르다 만족 촉촉하다 샤워 향기 머리 기분 싸구려 자연 테이크 조은 만족', '향수 추천 최고 기분 조아 이름 테이크 조켓어요 향수', '향수 추천 최고 기분 조아 이름 테이크 조켓어요 향수']"
43,64,43_감사_배송_빠르다_수고,"['감사', '배송', '빠르다', '수고', '부탁', '사진', '맛집', '한국', '안녕', '무료']","['감사', '감사 감사', '감사']"
44,58,44_기한_유통_에어리_넉넉하다,"['기한', '유통', '에어리', '넉넉하다', '운동', '선물', '베티버', '하이드', 'ml', 'new']","['유통 기한 샘플 테스트 괜찮다', '유통 기한 샘플 테스트 괜찮다', '빠르다 흡수 유통 기한 최고 구입']"
45,57,45_유튜브_유튜버_화장_극찬,"['유튜브', '유튜버', '화장', '극찬', '스킨케어', '시트', '개발', '유명', '기초', '크림']","['유튜브 발림 촉촉하다 건조 화장 괜찮다 시리다 트러블', '원지 유튜브 아모레 판매 유튜브 에센스 썬크림 기초 화장품 발림', '원지 유튜브 아모레 판매 유튜브 에센스 썬크림 기초 화장품 발림']"
46,55,46_감사_조아요_조아_택배,"['감사', '조아요', '조아', '택배', '미니', '배송', '빠르다', '라이브', '가격대', '불만']","['조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사', '조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사 조아 조아요 감사', '조아요 감사 남편 감사 거지 감사 쓸모 감사 감사 감사']"
47,55,47_아모레퍼시픽_이벤트_이탈_슈퍼,"['아모레퍼시픽', '이벤트', '이탈', '슈퍼', '세트', 'spf', '적극', '배송', '블루', '빠르다']","['슈퍼 이탈 기초 세트 만족 아모레퍼시픽 배송 빠르다 이벤트 적극 추천', '슈퍼 이탈 세트 촉촉하다 만족 아모레퍼시픽 배송 빠르다 이벤트 추천', '슈퍼 이탈 기초 세트 촉촉하다 만족 아모레퍼시픽 배송 빠르다 이벤트 추천']"
48,54,48_이제_건성_민감_마무리,"['이제', '건성', '민감', '마무리', '세정', '각질', '신경', '토너', '후기', '충전']","['처음 화장 차이 후기 이제 유목민 크림 심하다 거울 해결 이제 이후 시작 화장 이제', '응모 당첨 결론 세정 발림 민트 단어 건성 순간 유화 과정 건조 참고 블랙 헤드 정돈 드라마틱 후기 출시 기념 세안 밴드 후기', '응모 당첨 결론 세정 발림 민트 단어 건성 순간 유화 과정 건조 참고 블랙 헤드 정돈 드라마틱 후기 출시 기념 세안 밴드 후기']"
49,54,49_그린티_이니스프리_초록색_그린,"['그린티', '이니스프리', '초록색', '그린', '라인', '밀크', '세라마이드', '리필', '크림', '버터']","['그린티 크림 버터 크림 신상 이니스프리 그린티 라인 유명 리치 촉촉하다 쫀쫀 보습 나이트 케어', '이니스프리 그린티 세라마이드 크림 순하다 예전 그린티 크림 단종 유목민 나쁘다 겨울 오일', '스프 그린티 세라마이드 크림 출시 세라미이드 성분 그린티 크림 튜브 타입 고민 타입 그린티 히아루론 크림 자루']"
50,53,50_표현_터치_글로시_커버,"['표현', '터치', '글로시', '커버', '쿠션', '가능', '파우치', '사은품', '밀착', '잡티']","['빠르다 배송 촉촉하다 커버 블랙 쿠션 밀착 커버 글로시 표현 사은품 란제리 블러 터치 표현 가능 파우치 편하다', '쿠션 커버 글로시 표현 사은품 란제리 블러 터치 표현 가능 파우치 편하다', '쿠션 촉촉하다 커버 글로시 표현 사은품 란제리 블러 터치 표현 가능 파우치 편하다']"
51,52,51_테이크_우드_향수_바디워시,"['테이크', '우드', '향수', '바디워시', '브랜드', '헤어', '우디', '통일', '오일', '후회']","['테이크 헤어 오일', '테이크', '테이크']"
52,51,52_배송_빠르다_안전_포장,"['배송', '빠르다', '안전', '포장', '중성', '유효', '향기', '상자', '칭찬', '계속']","['배송 빠르다 촉촉하다', '배송 빠르다', '배송 빠르다']"
